Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
谢瑞麟,珠宝, 26 , -0.8 ,-3.1%,2019,2019/2020,2019/4/1-2020/3/31,亿元,00417.HK,YES,http://static.cninfo.com.cn/finalpage/2020-07-22/1208059975.PDF
谢瑞麟,珠宝, 34 , 0.5 ,1.3%,2018,2018/2019,2018/4/1-2019/3/31,亿元,00417.HK,YES,http://static.cninfo.com.cn/finalpage/2019-07-23/1206470750.PDF
谢瑞麟,珠宝, 36 , 0.4 ,1.2%,2017,2017/2018,2017/4/1-2018/3/31,亿元,00417.HK,YES,http://static.cninfo.com.cn/finalpage/2018-07-18/1205196114.PDF
谢瑞麟,珠宝, 29 , 0.4 ,1.4%,2016,2016/2017,2016/4/1-2017/2/28,亿元,00417.HK,YES,http://static.cninfo.com.cn/finalpage/2017-06-16/1203629426.PDF
明牌,珠宝, 34 , 0.6 ,1.7%,2019,2019,2019/1/1-2019/12/31,亿元,002574.SZ,YES,http://static.cninfo.com.cn/finalpage/2020-04-29/1207671489.PDF
明牌,珠宝, 41 , 0.9 ,2.2%,2018,2018,2018/1/1-2018/12/31,亿元,002574.SZ,YES,http://static.cninfo.com.cn/finalpage/2019-04-20/1206059424.PDF
明牌,珠宝, 37 , 0.9 ,2.4%,2017,2017,2017/1/1-2017/12/31,亿元,002574.SZ,YES,http://static.cninfo.com.cn/finalpage/2018-04-21/1204679799.PDF
明牌,珠宝, 34 , 0.4 ,1.3%,2016,2016,2016/1/1-2016/12/31,亿元,002574.SZ,YES,http://static.cninfo.com.cn/finalpage/2017-03-21/1203180931.PDF
潮宏基,珠宝, 35 , 0.8 ,2.3%,2019,2019,2019/1/1-2019/12/31,亿元,002345.SZ,YES,http://static.cninfo.com.cn/finalpage/2020-04-29/1207661600.PDF
潮宏基,珠宝, 32 , 0.7 ,2.2%,2018,2018,2018/1/1-2018/12/31,亿元,002345.SZ,YES,http://static.cninfo.com.cn/finalpage/2019-04-27/1206121110.PDF
潮宏基,珠宝, 31 , 2.8 ,9.2%,2017,2017,2017/1/1-2017/12/31,亿元,002345.SZ,YES,http://static.cninfo.com.cn/finalpage/2018-04-27/1204804341.PDF
潮宏基,珠宝, 27 , 2.0 ,7.2%,2016,2016,2016/1/1-2016/12/31,亿元,002345.SZ,YES,http://static.cninfo.com.cn/finalpage/2017-04-27/1203404678.PDF
Tiffany,珠宝, 305 , 37.3 ,12.2%,2019,2019/2020,2019/2/1-2020/1/31,亿元,TIF.US,YES,https://investor.tiffany.com/static-files/31f6f35f-4107-4943-aa6e-a2010e6f551a
Tiffany,珠宝, 294 , 38.8 ,13.2%,2018,2018/2019,2018/2/1-2019/1/31,亿元,TIF.US,YES,https://investor.tiffany.com/static-files/09e06d06-4bdc-409b-9952-3a233728a1af
