Company,category,Revenue,Operating_Profit,Net_income,Operating_margin,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
上海家化,美妆, 76 , 3 , 6 ,3.4%,7.3%,2018,2018,2018/1/1-2018/12/31,亿元,SHSE:600315,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2020/2020-2/2020-02-20/5898951.PDF
上海家化,美妆, 71 , 4 , 5 ,6.1%,7.6%,2017,2017,2017/1/1-2017/12/31,亿元,SHSE:600315,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2019/2019-3/2019-03-13/5077887.PDF
上海家化,美妆, 65 , 3 , 4 ,5.0%,6.0%,2016,2016,2016/1/1-2016/12/31,亿元,SHSE:600315,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-3/2018-03-21/4136243.PDF
逸仙电商,美妆, 51 , 1 , -   ,2.8%,0.0%,2020,2020,2020/1/1-2020/12/31,亿元,NYSE:YSG,YES,https://www.sec.gov/Archives/edgar/data/1819580/000119312520282237/d57580df1.htm
逸仙电商,美妆, 30 , -0 , 2 ,-1.1%,5.0%,2019,2019,2019/1/1-2019/12/31,亿元,NYSE:YSG,YES,https://www.sec.gov/Archives/edgar/data/1819580/000119312520282237/d57580df1.htm
逸仙电商,美妆, 6 , -   , -0 ,0.0%,-3.8%,2018,2018,2018/1/1-2018/12/31,亿元,NYSE:YSG,YES,https://www.sec.gov/Archives/edgar/data/1819580/000119312520282237/d57580df1.htm
贝泰妮,美妆, 188 , -   , -   ,0.0%,0.0%,2019,2019/2020,2019/2/1-2020/1/31,亿元,,NO,
贝泰妮,美妆, 129 , 32 , 27 ,24.5%,21.2%,2018,2018/2019,2018/2/1-2019/1/31,亿元,招股书（申报稿）,YES,https://pdf.dfcfw.com/pdf/H2_AN202010231423279801_1.pdf
贝泰妮,美妆, 84 , 20 , 18 ,24.2%,21.0%,2017,2017/2018,2017/2/1-2018/1/31,亿元,招股书（申报稿）,YES,https://pdf.dfcfw.com/pdf/H2_AN202010231423279801_1.pdf
贝泰妮,美妆, 53 , 12 , 10 ,22.8%,19.3%,2016,2016/2017,2016/2/1-2027/1/31,亿元,招股书（申报稿）,YES,https://pdf.dfcfw.com/pdf/H2_AN202010231423279801_1.pdf
