Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
浪莎,内衣, 3 , 0.1 ,5.0%,2016,2016,2016/1/1-2016/12/31,亿元,600137.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-5/2018-05-05/4409955.PDF
哈森,鞋, 12 , 0.1 ,0.5%,2019,2019,2019/1/1-2019/12/31,亿元,603958.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-5/2018-05-24/4471626.PDF
哈森,鞋, 13 , -0.7 ,-5.0%,2018,2018,2018/1/1-2018/12/31,亿元,603958.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-5/2018-05-24/4471626.PDF
哈森,鞋, 15 , 0.2 ,1.0%,2017,2017,2017/1/1-2017/12/31,亿元,603958.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-5/2018-05-24/4471626.PDF
哈森,鞋, 17 , 0.8 ,4.6%,2016,2016,2016/1/1-2016/12/31,亿元,603958.SH,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-5/2018-05-24/4471626.PDF
星期六,鞋, 21 , 1.6 ,8.0%,2019,2019,2019/1/1-2019/12/31,亿元,002291.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2021/2021-3/2021-03-23/6967436.PDF
星期六,鞋, 15 , 0.1 ,0.9%,2018,2018,2018/1/1-2018/12/31,亿元,002291.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2021/2021-3/2021-03-23/6967436.PDF
星期六,鞋, 15 , -3.5 ,-23.1%,2017,2017,2017/1/1-2017/12/31,亿元,002291.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-4/2018-04-28/4392340.PDF
星期六,鞋, 15 , 0.2 ,1.4%,2016,2016,2016/1/1-2016/12/31,亿元,002291.SZ,YES,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2018/2018-4/2018-04-28/4392340.PDF
莱尔斯丹,鞋, 7 , -0.3 ,-4.1%,2019,2019,2019/03/01-2020/02/29,亿元,00738.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202006101383884583_1.pdf
莱尔斯丹,鞋, 9 , -0.3 ,-3.0%,2018,2018,2018/03/01-2019/02/28,亿元,00738.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202006101383884583_1.pdf
莱尔斯丹,鞋, 11 , 0.6 ,5.3%,2017,2017,2017/03/01-2018/02/28,亿元,00738.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202006101383884583_1.pdf
莱尔斯丹,鞋, 14 , 0.8 ,5.6%,2016,2016,2016/03/01-2017/02/28,亿元,00738.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202006101383884583_1.pdf
