Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
水星家纺,居家, 25 , 2.6 ,10.5%,2017,2017,2017/1/1-2017/12/31,人民币,603365.SH,NO,http://www.shuixing.com.cn/Upload/RegularNotice/1dca6e352f554ec8a56c13641cf3630f20180824071232.pdf
水星家纺,居家, 20 , 2.0 ,10.0%,2016,2016,2016/1/1-2016/12/31,人民币,603365.SH,YSE,
芝华士,居家, 1 , -   ,0.0%,2019,2018/2019,2018/4/1-2019/3/31,港   元,01999.HK,YSE,http://manwah.todayir.com/attachment/2019060318100100103518091_tc.pdf
芝华士,居家, 1 , -   ,0.0%,2018,2017/2018,2017/4/1-2018/3/31,港   元,01999.HK,YSE,http://manwah.todayir.com/attachment/2018060117170100103161064_tc.pdf
芝华士,居家, 1 , -   ,0.0%,2017,2016/2017,2016/4/1-2017/3/31,港   元,01999.HK,YSE,http://manwah.todayir.com/attachment/2017060622020100102831853_tc.pdf
芝华士,居家, 1 , -   ,0.0%,2016,2015/2016,2015/4/1-2016/3/31,港   元,01999.HK,YSE,http://manwah.todayir.com/attachment/2016060222320100102531068_tc.pdf
雷士国际,居家, 0 , -   ,0.0%,2019,2019,2019/1/1-2019/12/31,人民币,02222.HK,YSE,https://www.nvc-international.com/upload/202005/20200506141604898.pdf
雷士国际,居家, 0 , -   ,0.0%,2018,2018,2018/1/1-2018/12/31,人民币,02222.HK,YSE,https://www.nvc-international.com/upload/201912/20191217105555889.pdf
雷士国际,居家, 0 , -   ,0.0%,2017,2017,2017/1/1-2017/12/31,人民币,02222.HK,NO,https://www.nvc-international.com/upload/201807/20180705154933753.pdf
雷士国际,居家, 0 , -   ,0.0%,2016,2016,2016/1/1-2016/12/31,人民币,02222.HK,YSE,
公牛,居家, 100 , 26.9 ,26.8%,2019,2019,2019/1/1-2019/12/31,人民币,603195.SH,NO,https://gnstatic.oss-cn-hangzhou.aliyuncs.com/2020-06-17/5ee9c7a26b05e.pdf
公牛,居家, 91 , 16.8 ,18.5%,2018,2018,2018/1/1-2018/12/31,人民币,603195.SH,NO,
公牛,居家, 72 , 12.9 ,17.8%,2017,2017,2017/1/1-2017/12/31,人民币,603195.SH,NO,
公牛,居家, 54 , 14.1 ,26.2%,2016,2016,2016/1/1-2016/12/31,人民币,603195.SH,YSE,
惠达卫浴,居家, 32 , 3.2 ,9.9%,2020,2020,2020/1/1-2020/12/31,人民币,603385.SH,YSE,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2021/2021-3/2021-03-12/6944019.PDF
惠达卫浴,居家, 32 , 3.5 ,10.8%,2019,2019,2019/1/1-2019/12/31,人民币,603385.SH,YSE,http://www.huidagroup.com/uploadfile/soft/20201124/2020-03-20%E6%83%A0%E8%BE%BE%E5%8D%AB%E6%B5%B4%EF%BC%9A2019%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.pdf
惠达卫浴,居家, 29 , 2.6 ,8.9%,2018,2018,2018/1/1-2018/12/31,人民币,603385.SH,YSE,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2019/2019-4/2019-04-25/5253968.PDF
惠达卫浴,居家, 27 , 2.5 ,9.2%,2017,2017,2017/1/1-2017/12/31,人民币,603385.SH,NO,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2018/2018-4/2018-04-02/4186582.PDF
惠达卫浴,居家, 23 , 2.4 ,10.4%,2016,2016,2016/1/1-2016/12/31,人民币,603385.SH,YSE,
华帝,居家, 57 , 7.6 ,13.2%,2019,2019,2019/1/1-2019/12/31,人民币,002035.SZ,YSE,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2020/2020-4/2020-04-29/6192739.PDF
华帝,居家, 61 , 6.9 ,11.4%,2018,2018,2018/1/1-2018/12/31,人民币,002035.SZ,YSE,http://www.vatti.com.cn/Uploads/file/about/20191121/20191121171005_59218.pdf
华帝,居家, 57 , 5.3 ,9.2%,2017,2017,2017/1/1-2017/12/31,人民币,002035.SZ,NO,http://www.vatti.com.cn/Uploads/file/about/20191121/20191121170251_93153.pdf
华帝,居家, 44 , 3.4 ,7.8%,2016,2016,2016/1/1-2016/12/31,人民币,002035.SZ,NO,
